artist,Unnamed: 0,track,track_artist,track_title,track_remix,track_basic,artist_basic,cluster
Afrojack,60,Migos - T-Shirt (Styles&Complete Remix),Migos,T-Shirt (Styles&Complete Remix),['Styles&Complete Remix'],T-Shirt ,Migos,1
Afrojack,61,graves & Coolights - Say Things (Crankdat Re-Crank),graves & Coolights,Say Things (Crankdat Re-Crank),['Crankdat Re-Crank'],Say Things ,graves & Coolights,1
Afrojack,62,Kyle Edwards & DJ Smallz 732 - Catch Me Outside (How Bout Dat),Kyle Edwards & DJ Smallz 732,Catch Me Outside (How Bout Dat),['How Bout Dat'],Catch Me Outside ,Kyle Edwards & DJ Smallz 732,1
Afrojack,63,Bro Safari - Follow (Zomboy Remix),Bro Safari,Follow (Zomboy Remix),['Zomboy Remix'],Follow ,Bro Safari,1
Afrojack,64,Afrojack feat. Jack & Jack & Kyle Massey & Fais - Our Year,Afrojack feat. Jack & Jack & Kyle Massey & Fais,Our Year,[],Our Year,Afrojack,1
Afrojack,65,"Mightyfools - Footrocker (Get Your, Get Your Hands Up Acappella)",Mightyfools,"Footrocker (Get Your, Get Your Hands Up Acappella)","['Get Your, Get Your Hands Up Acappella']",Footrocker ,Mightyfools,1
Afrojack,66,Eliminate - Snake Bite (VIP),Eliminate,Snake Bite (VIP),['VIP'],Snake Bite ,Eliminate,1
Afrojack,67,Rae Sremmurd - No Type,Rae Sremmurd,No Type,[],No Type,Rae Sremmurd,1
Afrojack,68,Rae Sremmurd - Swang,Rae Sremmurd,Swang,[],Swang,Rae Sremmurd,1
Afrojack,69,Rae Sremmurd feat. Gucci Mane - Black Beatles (MAKJ Remix),Rae Sremmurd feat. Gucci Mane,Black Beatles (MAKJ Remix),['MAKJ Remix'],Black Beatles ,Rae Sremmurd,1
Afrojack,70,Party Favor - WAWA,Party Favor,WAWA,[],WAWA,Party Favor,1
Afrojack,71,Future - Mask Off,Future,Mask Off,[],Mask Off,Future,1
Afrojack,72,Zomboy vs. DJ Snake - Like A Bitch vs. Propaganda (Afrojack Edit),Zomboy vs. DJ Snake,Like A Bitch vs. Propaganda (Afrojack Edit),['Afrojack Edit'],Like A Bitch vs. Propaganda ,Zomboy vs. DJ Snake,1
Afrojack,73,Afrojack feat. Shermanology - Can't Stop Me (Acappella),Afrojack feat. Shermanology,Can't Stop Me (Acappella),['Acappella'],Can't Stop Me ,Afrojack,1
Afrojack,74,JAY Z & Kanye West - Niggas In Paris,JAY Z & Kanye West,Niggas In Paris,[],Niggas In Paris,JAY Z & Kanye West,1
Afrojack,75,D-Wayne - ID,D-Wayne,ID,[],ID,D-Wayne,1
Afrojack,76,Zomboy - Like A Bitch (Acappella),Zomboy,Like A Bitch (Acappella),['Acappella'],Like A Bitch ,Zomboy,1
Afrojack,77,Afrojack & Steve Aoki feat. Miss Palmer - No Beef,Afrojack & Steve Aoki feat. Miss Palmer,No Beef,[],No Beef,Afrojack & Steve Aoki,1
Afrojack,78,Afrojack & Jay Karama - Diamonds,Afrojack & Jay Karama,Diamonds,[],Diamonds,Afrojack & Jay Karama,1
Afrojack,79,4B & Aazar - Pop Dat (Acappella),4B & Aazar,Pop Dat (Acappella),['Acappella'],Pop Dat ,4B & Aazar,1
Afrojack,80,Pitbull feat. Ne-Yo & Afrojack & Nayer - Give Me Everything,Pitbull feat. Ne-Yo & Afrojack & Nayer,Give Me Everything,[],Give Me Everything,Pitbull,1
Afrojack,81,Afrojack & Dillon Francis - ID,Afrojack & Dillon Francis,ID,[],ID,Afrojack & Dillon Francis,1
Afrojack,82,D.R.A.M. feat. Lil Yachty - Broccoli (heRobust Busted Remix),D.R.A.M. feat. Lil Yachty,Broccoli (heRobust Busted Remix),['heRobust Busted Remix'],Broccoli ,D.R.A.M.,1
Afrojack,83,Boombox Cartel - Jefe,Boombox Cartel,Jefe,[],Jefe,Boombox Cartel,1
Afrojack,84,Kendrick Lamar - Humble,Kendrick Lamar,Humble,[],Humble,Kendrick Lamar,1
Afrojack,85,Lil *Zi Vert - XO TOUR Llif3,Lil *Zi Vert,XO TOUR Llif3,[],XO TOUR Llif3,Lil *Zi Vert,1
Afrojack,86,Marshmello - Alone,Marshmello,Alone,[],Alone,Marshmello,1
Afrojack,87,Linkin Park feat. Kiiara - Heavy (Afrojack Remix),Linkin Park feat. Kiiara,Heavy (Afrojack Remix),['Afrojack Remix'],Heavy ,Linkin Park,1
Afrojack,88,Afrojack & David Guetta feat. Ester Dean - Another Life,Afrojack & David Guetta feat. Ester Dean,Another Life,[],Another Life,Afrojack & David Guetta,1
Afrojack,89,Afrojack vs. David Guetta & Sia vs. Hardwell & W&W vs. Zedd & Lucky Date - ID (Kids Again) vs. Titanium vs. Don't Stop The Madness vs. Fall Into The Sky (Afrojack UMF 2015 Mashup),Afrojack vs. David Guetta & Sia vs. Hardwell & W&W vs. Zedd & Lucky Date,ID (Kids Again) vs. Titanium vs. Don't Stop The Madness vs. Fall Into The Sky (Afrojack UMF 2015 Mashup),"[""Kids Again) vs. Titanium vs. Don't Stop The Madness vs. Fall Into The Sky (Afrojack UMF 2015 Mashup""]",ID ,Afrojack vs. David Guetta & Sia vs. Hardwell & W&W vs. Zedd & Lucky Date,1
Afrojack,90,NLW & KIIDA - ID,NLW & KIIDA,ID,[],ID,NLW & KIIDA,1
Afrojack,91,Syndicate Of L.A.W. - Right On Time (Acappella),Syndicate Of L.A.W.,Right On Time (Acappella),['Acappella'],Right On Time ,Syndicate Of L.A.W.,1
Afrojack,92,Afrojack feat. Spree Wilson - The Spark,Afrojack feat. Spree Wilson,The Spark,[],The Spark,Afrojack,1
Afrojack,93,Hellberg - All The Way,Hellberg,All The Way,[],All The Way,Hellberg,1
Afrojack,94,Dimitri Vegas & Like Mike vs. NLW - Higher Place vs. Ten Feet Tall (Afrojack UMF Mashup),Dimitri Vegas & Like Mike vs. NLW,Higher Place vs. Ten Feet Tall (Afrojack UMF Mashup),['Afrojack UMF Mashup'],Higher Place vs. Ten Feet Tall ,Dimitri Vegas & Like Mike vs. NLW,1
Alison Wonderland,95,Alison Wonderland - Run,Alison Wonderland,Run,[],Run,Alison Wonderland,1
Alison Wonderland,96,*Z & ATLiens - Cavern (UNKWN Remix),*Z & ATLiens,Cavern (UNKWN Remix),['UNKWN Remix'],Cavern ,*Z & ATLiens,1
Alison Wonderland,97,Alison Wonderland feat. Djemba Djemba - I Want U,Alison Wonderland feat. Djemba Djemba,I Want U,[],I Want U,Alison Wonderland,1
Alison Wonderland,98,Alison Wonderland feat. Djemba Djemba - I Want U (GANZ Flip),Alison Wonderland feat. Djemba Djemba,I Want U (GANZ Flip),['GANZ Flip'],I Want U ,Alison Wonderland,1
Alison Wonderland,99,RL Grime feat. Miguel - Stay For It (Oriental Cravings & TWERL Flip),RL Grime feat. Miguel,Stay For It (Oriental Cravings & TWERL Flip),['Oriental Cravings & TWERL Flip'],Stay For It ,RL Grime,1
Alison Wonderland,100,Three 6 Mafia - Stay Fly (Acappella),Three 6 Mafia,Stay Fly (Acappella),['Acappella'],Stay Fly ,Three 6 Mafia,1
Alison Wonderland,101,Kendrick Lamar - DNA.,Kendrick Lamar,DNA.,[],DNA.,Kendrick Lamar,1
Alison Wonderland,102,Boombox Cartel - Jefe (Marx Flip),Boombox Cartel,Jefe (Marx Flip),['Marx Flip'],Jefe ,Boombox Cartel,1
Alison Wonderland,103,Future vs. Alison Wonderland & Vincent feat. Wayne Coyne - Mask Off vs. U Don't Know (Benzi & Chuwe Edit),Future vs. Alison Wonderland & Vincent feat. Wayne Coyne,Mask Off vs. U Don't Know (Benzi & Chuwe Edit),['Benzi & Chuwe Edit'],Mask Off vs. U Don't Know ,Future vs. Alison Wonderland & Vincent,1
Alison Wonderland,104,Missy Elliott - Get UR Freak On (Baauer Remix),Missy Elliott,Get UR Freak On (Baauer Remix),['Baauer Remix'],Get UR Freak On ,Missy Elliott,1
Alison Wonderland,105,Drippy Dolphin - Oooops,Drippy Dolphin,Oooops,[],Oooops,Drippy Dolphin,1
Alison Wonderland,106,Disclosure - When A Fire Starts To Burn (Shapeless & Golden Leaf Bootleg),Disclosure,When A Fire Starts To Burn (Shapeless & Golden Leaf Bootleg),['Shapeless & Golden Leaf Bootleg'],When A Fire Starts To Burn ,Disclosure,1
Alison Wonderland,107,Malaa - Belleville,Malaa,Belleville,[],Belleville,Malaa,1
Alison Wonderland,108,Michael Sparks - Ja Rasta,Michael Sparks,Ja Rasta,[],Ja Rasta,Michael Sparks,1
Alison Wonderland,109,Lil Pump - Boss,Lil Pump,Boss,[],Boss,Lil Pump,1
Alison Wonderland,110,Dombresky - Utopia,Dombresky,Utopia,[],Utopia,Dombresky,1
Alison Wonderland,111,Alison Wonderland feat. Safia - Take It To Reality (Justin Jay Remix Feat. Benny Bridges),Alison Wonderland feat. Safia,Take It To Reality (Justin Jay Remix Feat. Benny Bridges),['Justin Jay Remix Feat. Benny Bridges'],Take It To Reality ,Alison Wonderland,1
Alison Wonderland,112,Ugly God - Water,Ugly God,Water,[],Water,Ugly God,1
Alison Wonderland,113,TNGHT - Bugg'n,TNGHT,Bugg'n,[],Bugg'n,TNGHT,1
Alison Wonderland,114,Kid Cudi - Day 'n' Nite,Kid Cudi,Day 'n' Nite,[],Day 'n' Nite,Kid Cudi,1
Alison Wonderland,115,Alison Wonderland - ID,Alison Wonderland,ID,[],ID,Alison Wonderland,1
Alison Wonderland,116,Lil *Zi Vert - XO TOUR Llif3,Lil *Zi Vert,XO TOUR Llif3,[],XO TOUR Llif3,Lil *Zi Vert,1
Alison Wonderland,117,Kill The Noise & Madsonik feat. twoton - Spitfire Riddim (Boombox Cartel Remix),Kill The Noise & Madsonik feat. twoton,Spitfire Riddim (Boombox Cartel Remix),['Boombox Cartel Remix'],Spitfire Riddim ,Kill The Noise & Madsonik,1
Alison Wonderland,118,Dabow & QUIX - Like That,Dabow & QUIX,Like That,[],Like That,Dabow & QUIX,1
Alison Wonderland,119,Alison Wonderland x Slumberjack - ID,Alison Wonderland x Slumberjack,ID,[],ID,Alison Wonderland x Slumberjack,1
Alison Wonderland,120,Rustie - Big Catzz (Porter Robinson Edit),Rustie,Big Catzz (Porter Robinson Edit),['Porter Robinson Edit'],Big Catzz ,Rustie,1
Alison Wonderland,121,Flosstradamus & Valentino Khan - M.F.U. (Middle Fingers Up),Flosstradamus & Valentino Khan,M.F.U. (Middle Fingers Up),['Middle Fingers Up'],M.F.U. ,Flosstradamus & Valentino Khan,1
Alison Wonderland,122,Wuki - Dadadada,Wuki,Dadadada,[],Dadadada,Wuki,1
Alison Wonderland,123,Alison Wonderland feat. Lido - Cold (Slumberjack Remix),Alison Wonderland feat. Lido,Cold (Slumberjack Remix),['Slumberjack Remix'],Cold ,Alison Wonderland,1
Alison Wonderland,124,Flosstradamus - Roll Up (Baauer Remix),Flosstradamus,Roll Up (Baauer Remix),['Baauer Remix'],Roll Up ,Flosstradamus,1
Alison Wonderland,125,Lido - Crazy (Alison Wonderland Remix),Lido,Crazy (Alison Wonderland Remix),['Alison Wonderland Remix'],Crazy ,Lido,1
Alison Wonderland,126,Ying Yang Twins - Wait (The Whisper Song),Ying Yang Twins,Wait (The Whisper Song),['The Whisper Song'],Wait ,Ying Yang Twins,1
Alison Wonderland,127,Kanye West feat. Post Malone & Ty Dolla $ign - Fade,Kanye West feat. Post Malone & Ty Dolla $ign,Fade,[],Fade,Kanye West,1
Alison Wonderland,128,Underworld - Born Slippy,Underworld,Born Slippy,[],Born Slippy,Underworld,1
Alison Wonderland,129,Alison Wonderland feat. Lido - Cold (Acappella),Alison Wonderland feat. Lido,Cold (Acappella),['Acappella'],Cold ,Alison Wonderland,1
Alison Wonderland,130,RL Grime - Reims (Enschway & LUUDE Flip),RL Grime,Reims (Enschway & LUUDE Flip),['Enschway & LUUDE Flip'],Reims ,RL Grime,1
Alison Wonderland,131,Benny Benassi & Skrillex vs. Rustie & Flume - Cinema Slasherr (Benzi & Elephante 2k17 Edit),Benny Benassi & Skrillex vs. Rustie & Flume,Cinema Slasherr (Benzi & Elephante 2k17 Edit),['Benzi & Elephante 2k17 Edit'],Cinema Slasherr ,Benny Benassi & Skrillex vs. Rustie & Flume,1
Alison Wonderland,132,Alison Wonderland & M-Phazes - Messiah,Alison Wonderland & M-Phazes,Messiah,[],Messiah,Alison Wonderland & M-Phazes,1
Alison Wonderland,133,Alison Wonderland & M-Phazes - Messiah (WILDLYF Remix),Alison Wonderland & M-Phazes,Messiah (WILDLYF Remix),['WILDLYF Remix'],Messiah ,Alison Wonderland & M-Phazes,1
Alison Wonderland,134,Blink-182 - What's My Age Again?,Blink-182,What's My Age Again?,[],What's My Age Again?,Blink-182,1
Alison Wonderland,135,Flosstradamus & FKi 1st & graves feat. Post Malone & Key! - Came Up,Flosstradamus & FKi 1st & graves feat. Post Malone & Key!,Came Up,[],Came Up,Flosstradamus & FKi 1st & graves,1
Alison Wonderland,136,Ed Sheeran - Shape Of You (Alison Wonderland Cover / Naderi Remix),Ed Sheeran,Shape Of You (Alison Wonderland Cover / Naderi Remix),['Alison Wonderland Cover / Naderi Remix'],Shape Of You ,Ed Sheeran,1
Armin van Buren,137,Armin van Buuren - I Live For That Energy (ASOT 800 Theme) (Armin van Buuren Piano Intro Mashup),Armin van Buuren,I Live For That Energy (ASOT 800 Theme) (Armin van Buuren Piano Intro Mashup),['ASOT 800 Theme) (Armin van Buuren Piano Intro Mashup'],I Live For That Energy ,Armin van Buuren,1
Armin van Buren,138,Armin van Buuren feat. Kensington - Heading Up High (First State Remix),Armin van Buuren feat. Kensington,Heading Up High (First State Remix),['First State Remix'],Heading Up High ,Armin van Buuren,1
Armin van Buren,139,Armin van Buuren - My Symphony (The Best Of Armin Only Anthem),Armin van Buuren,My Symphony (The Best Of Armin Only Anthem),['The Best Of Armin Only Anthem'],My Symphony ,Armin van Buuren,1
Armin van Buren,140,Armin van Buuren & Garibay feat. Olaf Blackwood - I Need You (Armin van Buuren Ultra Miami 2017 Mashup),Armin van Buuren & Garibay feat. Olaf Blackwood,I Need You (Armin van Buuren Ultra Miami 2017 Mashup),['Armin van Buuren Ultra Miami 2017 Mashup'],I Need You ,Armin van Buuren & Garibay,1
Armin van Buren,141,Dimitri Vegas & Like Mike vs. W&W - Arcade,Dimitri Vegas & Like Mike vs. W&W,Arcade,[],Arcade,Dimitri Vegas & Like Mike vs. W&W,1
Armin van Buren,142,Jordan & Baker - Explode (Yoel Lewis & Graham Bell Remix),Jordan & Baker,Explode (Yoel Lewis & Graham Bell Remix),['Yoel Lewis & Graham Bell Remix'],Explode ,Jordan & Baker,1
Armin van Buren,143,Armin van Buuren & W&W vs. Alan Walker & Iselin Solheim & Dash Berlin - If It Ain't Dutch vs. Faded (Armin van Buuren Mashup),Armin van Buuren & W&W vs. Alan Walker & Iselin Solheim & Dash Berlin,If It Ain't Dutch vs. Faded (Armin van Buuren Mashup),['Armin van Buuren Mashup'],If It Ain't Dutch vs. Faded ,Armin van Buuren & W&W vs. Alan Walker & Iselin Solheim & Dash Berlin,1
Armin van Buren,144,Armin van Buuren & Mark Sixma ft. Mr. Probz vs. Sebastian Ingrosso - Another You vs. Dark River (Armin van Buuren Mashup),Armin van Buuren & Mark Sixma ft. Mr. Probz vs. Sebastian Ingrosso,Another You vs. Dark River (Armin van Buuren Mashup),['Armin van Buuren Mashup'],Another You vs. Dark River ,Armin van Buuren & Mark Sixma,1
Armin van Buren,145,Hardwell & Armin van Buuren & Mark Sixma vs. Zedd & Alessia Cara - Off The Hook vs. Stay (Armin van Buuren Mashup),Hardwell & Armin van Buuren & Mark Sixma vs. Zedd & Alessia Cara,Off The Hook vs. Stay (Armin van Buuren Mashup),['Armin van Buuren Mashup'],Off The Hook vs. Stay ,Hardwell & Armin van Buuren & Mark Sixma vs. Zedd & Alessia Cara,1
Armin van Buren,146,Armin van Buuren feat. Josh Cumbee - Sunny Days (Club Mix),Armin van Buuren feat. Josh Cumbee,Sunny Days (Club Mix),['Club Mix'],Sunny Days ,Armin van Buuren,1
Armin van Buren,147,Willem De Roo vs. Exis - Hyperdrive vs. The Count (Armin van Buuren Mashup),Willem De Roo vs. Exis,Hyperdrive vs. The Count (Armin van Buuren Mashup),['Armin van Buuren Mashup'],Hyperdrive vs. The Count ,Willem De Roo vs. Exis,1
Armin van Buren,148,Kryder - Dogs On Acid (Rhymes Edit),Kryder,Dogs On Acid (Rhymes Edit),['Rhymes Edit'],Dogs On Acid ,Kryder,1
Armin van Buren,149,Armin van Buuren - This Is A Test (Arkham Knights Remix),Armin van Buuren,This Is A Test (Arkham Knights Remix),['Arkham Knights Remix'],This Is A Test ,Armin van Buuren,1
Armin van Buren,150,Cygnus X & Ummet Ozcan vs. Rozalla - Superstring vs. Everybody's Free (Ummet Ozcan Smashup),Cygnus X & Ummet Ozcan vs. Rozalla,Superstring vs. Everybody's Free (Ummet Ozcan Smashup),['Ummet Ozcan Smashup'],Superstring vs. Everybody's Free ,Cygnus X & Ummet Ozcan vs. Rozalla,1
